pca1,pca2,model_type
2.5610495230602925,17.589497715913147,Baseline
-7.3382406726671,26.25595310899656,Baseline
-3.9062965846148736,14.327453786729569,Baseline
55.57585210701489,-28.58612596742851,Baseline
17.562307175646534,23.30906723497253,Baseline
-15.257307422468218,-26.544124030807783,Baseline
-6.471786240564721,23.481679208291578,Baseline
54.43022175821511,-30.31261948625488,Baseline
-15.408966377189232,-2.77455130515591,Baseline
24.485219730375235,7.996321617547712,Baseline
-2.150339141690283,18.67865004834329,Baseline
-0.15629710110034845,33.1265869221051,Baseline
-11.317016161921252,2.661523604959456,Baseline
12.530550993149989,25.52080954028256,Baseline
-7.055116050190773,-7.851322245735088,Baseline
-3.2276617784471906,10.716906057420617,Baseline
-0.6400895821212921,-1.5451704877791987,Baseline
-10.40234529090087,24.075164056367488,Baseline
-7.057342694401136,-0.8673453296240593,Baseline
-17.06792795413768,-5.825233388727896,Baseline
-13.227420082884404,-4.026467043809333,Baseline
1.8746943054929281,32.52069404768983,Baseline
48.72548492971323,-27.900446639076762,Baseline
7.145931729724485,27.40351901992063,Baseline
-16.508279779838574,-20.54701321086269,Baseline
-10.052604222389503,24.02418865621678,Baseline
-25.182130028934132,-13.707795927349014,Baseline
53.24616252291347,-24.770299603957646,Baseline
2.9594364530677955,-11.20211047603882,Baseline
-12.961681840424404,-15.427764179745804,Baseline
-30.84700034653401,-25.678419778725793,Baseline
-0.009292989388537235,21.179912508326666,Baseline
55.307886159561924,-29.772926698017592,Baseline
-11.883886713182347,-17.310174319712107,Baseline
8.885885943480934,28.18653575966132,Baseline
-19.277819146240436,-8.395531931658399,Baseline
2.2022535722421286,27.408894779096237,Baseline
54.9276315241848,-30.88400412576499,Baseline
-31.53303236188293,-20.282138309761518,Baseline
-12.633279864460478,-11.244223930202459,Baseline
-16.308244039382128,-13.12043966650797,Baseline
-4.764186240018208,23.641603584782626,Baseline
-8.905653195650547,-4.58408375640278,Baseline
55.939278009604266,-25.658129588319543,Baseline
-16.497154635683128,-18.226248064593786,Baseline
5.998694638450344,14.788927432936163,Baseline
-9.731921762924195,18.597943364143507,Baseline
-17.326570613902465,-24.97348424901075,Baseline
-16.486993562122287,-11.662511738254064,Baseline
59.55803697959371,-30.32628292425102,Baseline
-23.472982355985113,-19.524863396450073,Baseline
-5.731345503067177,26.503077055901716,Baseline
55.27548324016724,-25.685749938596214,Baseline
-10.595454922272435,-16.11366691860671,Baseline
4.419842972262665,27.57971463523238,Baseline
-7.091695905605179,-13.56016150275294,Baseline
54.510627744351616,-32.98281695310797,Baseline
1.6381269625393142,4.595563167769921,Baseline
